iteration,learning_rate,n_estimators,max_depth,min_child_weight,subsample,reg_alpha,reg_lambda,colsample_bynode,colsample_bytree,num_parallel_tree,max_delta_step,score
0.0,0.12564724781278122,184.0,5.0,2.1074039828908534,0.4350165749730634,0.13189455002742524,0.8042140726601535,0.985204946443872,0.235329843714685956,5.0,3.0,1
0.0,0.0035754265391452593,1655.0,3.0,0.10506833616384749,0.512638827208473,0.6482881702422155,0.5361783404921873,0.4355695602809172,0.8954047023133219,4.0,5.0,0.006730097539622889
0.0,0.0014500667743275958,1861.0,4.0,0.15030008186409882,0.641305008785923,0.21815324128356403,0.3559232466978725,0.7524920140717444,0.6337591904907,2.0,2.0,0.008311367348935363
0.0,0.009343916767543361,60.0,4.0,0.872281378308204,0.8844161628703706,0.4814389901409773,0.14514049423589057,0.5757266233438146,0.32383044935319005,5.0,2.0,0.5046956459869035
0.0,0.2529217538783717,789.0,6.0,0.1591102932963203,0.7090887492191408,0.06767746711892686,0.430130527807231,0.6416807305364082,0.393553030224453,2.0,4.0,0.01609925609937791
0.0,0.003034779739065189,570.0,3.0,0.7704565251847959,0.827312568448453,0.029384806841458343,0.3947578833783513,0.2244578474980262,0.1947022929041224,2.0,1.0,0.1659391351602058
0.0,0.14005525182930373,53.0,3.0,0.8506845223391566,0.1572559872640827,0.8789509098872718,0.5679267615349565,0.8535947803288658,0.8877309454934519,1.0,1.0,0.007270813628263184
0.0,0.005609086844268554,274.0,3.0,0.1241143004478621,0.5737908847242832,0.8512088901218399,0.4549731512320471,0.096721055419525,0.8936416492007554,5.0,2.0,0.014022298354864644
0.0,0.012592492319331195,1080.0,5.0,0.18857913330044543,0.5509282677015935,0.8109993378750964,0.6916174314084041,0.8481783889383335,0.4805029982093019,4.0,4.0,0.0018298848422761036
0.0,0.08658026924195114,632.0,3.0,0.7920397079318683,0.9190210464623342,0.017044471263693788,0.6914683640398122,0.40238073128022284,0.704607556703543,5.0,1.0,0.003736036375462542
0.0,0.2507582910757384,178.0,5.0,1.8059473193687565,0.1918236222452758,0.8309955117342136,0.7800460417643088,0.4701421403666889,0.7409753205020975,4.0,0.0,0.016514488457071794
0.0,0.009202759881152465,477.0,3.0,2.1141769273922795,0.07058249631165635,0.48880461552346893,0.3786963577745131,0.30702584253436804,0.7534844687809672,2.0,2.0,0.01068598440195856
0.0,0.034414477581932314,141.0,4.0,0.2687086443873961,0.06023375827101208,0.8907000124156949,0.018618855229441806,0.7264999411976806,0.13172297649181586,1.0,3.0,0.01867520225176851
0.0,0.21835038917881291,382.0,3.0,0.1473464049142848,0.9725319073395455,0.2321743249863311,0.17365374495117064,0.1631379918615027,0.11764180374696473,3.0,0.0,0.010062995218807791
0.0,0.229032487332011,2038.0,4.0,1.569446257319379,0.09881542018140389,0.9262796734878914,0.4098027993038751,0.8382278518301278,0.7775529409654582,4.0,3.0,0.035950995680876216
0.0,0.005587404662637996,1254.0,3.0,0.325114002073933,0.958585979886124,0.08115088336183626,0.8737397824324884,0.49177199686980555,0.5310094856771296,5.0,4.0,0.005872618964665765
0.0,0.005045277484553716,896.0,3.0,0.15030642214560663,0.9036379028899232,0.3543376030441935,0.6493529296098977,0.7479464751416006,0.4880403538311444,4.0,4.0,0.008051072546935744
0.0,0.03601155160357567,149.0,4.0,0.11851813722987171,0.20311804514537968,0.17787923646554207,0.19390785032284713,0.7952130598332371,0.07322031309096423,4.0,0.0,0.028152570169531925
0.0,0.09631662924817655,466.0,5.0,0.48768499442152696,0.798453158630485,0.1641162944456574,0.5566064406286991,0.23157850479220796,0.9347258377089273,2.0,4.0,0.006665438885400162
0.0,0.030462425423625525,60.0,5.0,1.1546482424823488,0.21137415917079033,0.5918658706870152,0.08406266934453599,0.5693446932563073,0.6398773494719243,4.0,3.0,0.008120007418212932
0.0,0.006320162654577477,140.0,6.0,0.45769780879965644,0.3430855634849363,0.33866505987007145,0.34586091368436417,0.1798523875197066,0.2049121378876926,1.0,2.0,0.3410110219367749
0.0,0.13999430834080906,69.0,6.0,0.918557320011752,0.6440799461906421,0.23765135334481122,0.5809171392988366,0.8638196112391742,0.6893429421652686,2.0,1.0,0.004017299167620978
0.0,0.0032459596063428237,343.0,3.0,2.015272342022058,0.2526983510087947,0.12997802377629109,0.32836756002001666,0.5413016441209061,0.3083250741508604,5.0,5.0,0.04864536944714333
0.0,0.0012846297461111087,852.0,4.0,1.1115297478601127,0.051254179286411315,0.014562973970574248,0.585591253998624,0.7294969122262274,0.7970931880826481,5.0,1.0,0.06921335643146921
0.0,0.07982667486645333,1849.0,4.0,0.14656060282652753,0.9050371046102267,0.14199734226826916,0.32939512604131754,0.6283940116571364,0.6701748195387373,5.0,3.0,0.009873511112734327
0.0,0.00982069862189252,1307.0,4.0,0.11755903378281195,0.028255052107460443,0.011560984220677532,0.08367348532606093,0.04287540988386768,0.10545194313264898,4.0,5.0,0.08800480037267593
0.0,0.012967612922000384,371.0,5.0,0.2563010128262501,0.13772855974984902,0.35107320311967644,0.028630454608477466,0.34991354604693814,0.42123793188749176,5.0,3.0,0.004652375519127645
0.0,0.0037465954060284497,388.0,4.0,0.19372864116550223,0.769308296331944,0.5064945159641135,0.6380995937707227,0.27389908471656055,0.8105824293255598,5.0,5.0,0.037806191472030695
0.0,0.002367237509063692,1857.0,3.0,0.4432148154908899,0.4598453960772612,0.3665580817589563,0.564717910148518,0.656264902082113,0.5273384039088492,4.0,3.0,0.029920044201993127
0.0,0.07088865289854851,451.0,4.0,0.4123176399130949,0.11221550586792521,0.32585379804684195,0.9122715824830354,0.6460276925715206,0.4243720720393641,3.0,0.0,0.00765979260037165
0.0,0.1462827237067911,557.0,5.0,0.11976565429085483,0.6606405632227321,0.9129122588243003,0.6712623696031594,0.9895935149532006,0.8798847086265488,2.0,5.0,0.011900135136694419
0.0,0.007165895581749099,97.0,3.0,0.4121018500997228,0.8142368904170864,0.018409440564785284,0.6691453156913781,0.4225068336956922,0.1522900466163959,4.0,4.0,0.49110576874900674
0.0,0.008332629861849862,666.0,6.0,0.8478328326675972,0.9871497257213953,0.4884110971023628,0.45528124875949794,0.8286329926727998,0.5377660258324312,3.0,2.0,0.0025780106647155148
0.0,0.0023139003174581134,457.0,3.0,0.5227411712424618,0.6143973319048822,0.30579418926974666,0.27477323289505307,0.311314984563101,0.6970092607346569,5.0,4.0,0.04976672764241381
